Waypoint,Obstacles,B,C,D,E,F,LOS/NLOS,Volume,Neighbour
1,,,,,,,LOS,,
2,,,,,,,LOS,,
3,,,,,,,LOS,,
1,,,,,,,,,Mango-tree (19)
,,,,,,,,,Mango-tree (17)
,,,,,,,,,Mango-tree (22)
,,,,,,,,,Mango-tree (15)
,,,,,,,,,Mango-tree (16)
,,,,,,,,,Mango-tree (12)
,,,,,,,,,Mango-tree (11)
,,,,,,,,,Mango-tree (10)
,,,,,,,,,Mango-tree (9)
,,,,,,,,,Mango-tree (6)
,,,,,,,,,Mango-tree (3)
,,,,,,,,,Mango-tree (7)
,,,,,,,,,Mango-tree (2)
,,,,,,,,,Mango-tree (1)
,,,,,,,,,Mango-tree (13)
,,,,,,,,,Mango-tree (20)
,,,,,,,,,Mango-tree (18)
,,,,,,,,,Mango-tree (14)
,,,,,,,,,Mango-tree (8)
,,,,,,,,,Mango-tree (5)
,,,,,,,,,Mango-tree (4)
2,,,,,,,,,
3,,,,,,,,,Mango-tree (19)
,,,,,,,,,Mango-tree (23)
,,,,,,,,,Mango-tree (17)
,,,,,,,,,Mango-tree (22)
,,,,,,,,,Mango-tree (15)
,,,,,,,,,Mango-tree (16)
,,,,,,,,,Mango-tree (11)
,,,,,,,,,Mango-tree (10)
,,,,,,,,,Mango-tree (9)
,,,,,,,,,Mango-tree (13)
,,,,,,,,,Mango-tree (20)
,,,,,,,,,Mango-tree (18)
,,,,,,,,,Mango-tree (14)
